epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,121.256,0.74095,2.807,1.39513,0.43585,0.53606,0.47779,0.3149,1.00712,3.15536,1.70679,0.00032906,0.00032906,0.00032906
2,245.204,0.70636,1.91762,1.37605,0.61305,0.65416,0.64711,0.34447,1.37602,2.67568,1.78335,0.000636162,0.000636162,0.000636162
3,370.018,0.7158,1.76198,1.37488,0.52988,0.61467,0.56838,0.3003,1.6048,2.96849,1.85985,0.000916865,0.000916865,0.000916865
4,502.643,0.69666,1.63092,1.33947,0.60657,0.56138,0.60486,0.39814,1.061,2.53267,1.48482,0.0008812,0.0008812,0.0008812
5,625.207,0.67585,1.51474,1.33843,0.72855,0.7044,0.7486,0.53006,1.05623,2.07722,1.49191,0.0008416,0.0008416,0.0008416
6,747.817,0.64728,1.43869,1.32184,0.63589,0.75153,0.75236,0.50906,1.14221,1.84085,1.56042,0.000802,0.000802,0.000802
7,870.379,0.63704,1.36206,1.29916,0.73535,0.61458,0.71084,0.45263,1.14829,1.90875,1.5562,0.0007624,0.0007624,0.0007624
8,992.75,0.60146,1.28056,1.28143,0.72089,0.63956,0.7041,0.47658,1.0495,1.99393,1.38308,0.0007228,0.0007228,0.0007228
9,1115.46,0.57864,1.19095,1.26427,0.80166,0.74807,0.80904,0.63055,0.82976,1.4913,1.26844,0.0006832,0.0006832,0.0006832
10,1238.13,0.56908,1.15865,1.25261,0.85161,0.71045,0.79868,0.63054,0.82967,1.42595,1.27688,0.0006436,0.0006436,0.0006436
11,1365.81,0.55672,1.08346,1.2419,0.79236,0.7469,0.82861,0.66846,0.86337,1.3164,1.21873,0.000604,0.000604,0.000604
12,1497.63,0.535,1.0518,1.2322,0.82346,0.74692,0.81488,0.64761,0.80555,1.29037,1.18148,0.0005644,0.0005644,0.0005644
13,1627.52,0.50245,1.0108,1.20993,0.84218,0.77973,0.85785,0.68499,0.74893,1.20853,1.15406,0.0005248,0.0005248,0.0005248
14,1749.76,0.50513,0.96274,1.21466,0.85884,0.82984,0.85551,0.66965,0.80649,1.06697,1.17584,0.0004852,0.0004852,0.0004852
15,1871.8,0.48162,0.95177,1.19367,0.86589,0.79036,0.84479,0.67732,0.84525,1.14528,1.23545,0.0004456,0.0004456,0.0004456
16,1992.19,0.56878,1.05513,1.366,0.8761,0.75206,0.84484,0.71446,0.7022,1.14706,1.11147,0.000406,0.000406,0.000406
17,2112.4,0.50634,0.88902,1.30861,0.89472,0.78708,0.86402,0.73398,0.74383,1.01168,1.11899,0.0003664,0.0003664,0.0003664
18,2233.61,0.48105,0.82556,1.28942,0.8767,0.81148,0.88016,0.74861,0.69031,1.01046,1.04314,0.0003268,0.0003268,0.0003268
19,2353.9,0.45263,0.7364,1.26795,0.84012,0.79036,0.85762,0.74332,0.64001,0.97499,0.96612,0.0002872,0.0002872,0.0002872
20,2473.67,0.42445,0.71286,1.23811,0.90391,0.81929,0.88411,0.76754,0.60852,0.8947,0.95752,0.0002476,0.0002476,0.0002476
21,2594.38,0.40408,0.67951,1.21259,0.89877,0.81888,0.88945,0.76065,0.65644,0.95932,0.96823,0.000208,0.000208,0.000208
22,2714.88,0.39535,0.62803,1.19273,0.92466,0.82813,0.90341,0.78251,0.6125,0.81763,0.95181,0.0001684,0.0001684,0.0001684
23,2835.58,0.39806,0.62073,1.21298,0.93221,0.81132,0.9048,0.78924,0.62769,0.84553,0.96334,0.0001288,0.0001288,0.0001288
24,2956.25,0.37485,0.58084,1.17599,0.91205,0.82464,0.90993,0.7866,0.59962,0.84571,0.92108,8.92e-05,8.92e-05,8.92e-05
25,3076.27,0.36492,0.5796,1.15378,0.92834,0.81657,0.91122,0.79792,0.58061,0.78836,0.9102,4.96e-05,4.96e-05,4.96e-05
